path,category,reason,loc,math_hits,definitions,imports,sha256
20260711T142511_derive_primary_pairing.py,direct,equation-bearing symbolic/numeric research implementation,151,16,sha;cap;simulate_first_domain;threshold;main,__future__;argparse;csv;hashlib;json;pathlib;fractions;sympy;mpmath,dcb705b5bc190e0f6e3dac2c3a5c43cdef53ba06cf89e8d175bbede6568a3ff1
20260711T145038_model.py,direct,equation-bearing symbolic/numeric research implementation,258,5,sha256;write_json;write_csv;load_json,__future__;dataclasses;pathlib;typing;csv;hashlib;json,dcd93925dd119a2537eb2d9a4d12722ad05474a4dc507832591ee11c0684b2b4
20260711T145605_derive_type_boundary.py,direct,equation-bearing symbolic/numeric research implementation,258,22,capacity;j_start;can_b;simulate_boundaries;local_first_domain;dump_json;main,__future__;argparse;csv;hashlib;json;pathlib;fractions;sympy,fa51b9d6fa579fc1dffa0d4550b88b26586198abd82208cb6f0b47f40131a3a8
20260711T162253_derive_domain_invariant.py,direct,equation-bearing symbolic/numeric research implementation,252,16,write_json;read_trace;validate_trace;word_counts;exact_symbolic_checks;main,__future__;argparse;csv;json;math;collections;pathlib;typing;sympy,f2be12f7543dd77333db6025449a33c2e29e9ed9347ffd3b957971fa572b4c64
20260711T162758_model.py,direct,equation-bearing symbolic/numeric research implementation,124,22,sha256_bytes;sha256_file;normalize_excerpt;excerpt;source_specs;build_source_ledger;star_semantics_rows;candidate_rows;result_card;hermitian_obstruction;first_L_relations,__future__;csv;hashlib;json;pathlib,a23a6a695d64e34e38500afa212744c43f336b6eae1a2d34a590dea3399bf7b2
20260711T174605_derive_articulation_boundary.py,direct,equation-bearing symbolic/numeric research implementation,447,11,sha256;write_json;write_csv;State;step;simulate_boundaries;read_accepted_trace;words;d0_classification;triangular_return_control;fiber_split_control;main;N;j_start;j;product;next_pair;capacity;can_q;can_b;boundary,__future__;argparse;csv;hashlib;json;collections;dataclasses;pathlib;typing,1925e90cdebcce671e6cffec2ebf1eb56c0c46de256bcccf1b78064bb7218ef3
20260711T194326_derive_bql_action_boundary.py,direct,equation-bearing symbolic/numeric research implementation,133,34,dump;main;scalar_text,__future__;argparse;csv;json;re;fractions;pathlib,23d1d99376eff0b567f6db0e86ae516de712482a1f655ffaa48058fbf9dfa2c5
20260711T214822_derive_state_forced_action.py,direct,equation-bearing symbolic/numeric research implementation,260,5,Custody;N;j_start;cap;can_q;can_b;select;lawful_custody_step;step_by_letter;a_text;run_domain0;Primary;Coupled;restrictions;primary_case;complete_step;induced_descendants;independent_descendants;run_external_selector_countermodel;run_independent_descendant_countermodel;main,__future__;argparse;csv;json;dataclasses;pathlib;typing,01f39249438f2e1751e84a3ac234b9e896363dfdbff467c92626688d96b8c508
20260711T224358_derive_ppgrl.py,direct,equation-bearing symbolic/numeric research implementation,143,23,sha256;stable;mul_i;div;zstr;main,__future__;argparse;csv;hashlib;json;fractions;pathlib,3e98eb0770d49a0fe8c8642b6b7ed211da132fa1b86d554dcfb63e67f914ca8f
20260711_072509_reaudit_v8p_against_clean_qbl.py,direct,equation-bearing symbolic/numeric research implementation,215,19,sha256;zero_matrix;replay_word;zero_pre_l_omegas_survival;zero_post_l_lens_survival;omega_minus_mismatch_count;run_verifier_corruption_test;main,__future__;csv;hashlib;json;shutil;subprocess;sys;tempfile;dataclasses;pathlib;orthad_canon;orthad_canon;orthad_canon;orthad_canon;orthad_canon,f9cd7b1300b489c2e9431a12c8b6f4f9da0048660e636f70bf4a8e033a7a93cd
CF000Lean.c,direct,research algorithm/exact arithmetic implementation,42,0,,,e47f6be2201aa22ee6495de00cf6b8175ad12ab98a2e295e7fef498c4544a49f
CF00_residual_checks.py,direct,equation-bearing symbolic/numeric research implementation,198,65,matrix_cancel;max_abs_matrix;cinner;main,__future__;json;os;sys;pathlib;typing;sympy,7b743b2b5084919723bb6c93960cda279b9c4d3a519088f3871357be2c743a1e
CF01_SSH_Metriplectic_Invariant_sympy.py,direct,equation-bearing symbolic/numeric research implementation,106,16,fail;main;metric_component,sys;sympy,723ea37799c5efb51c32b1ad2f71caa5321be11e67e5d7108aa58ca84405bb23
CF01_TwoBand_QGT_Determinant_Ratio_sympy.py,direct,equation-bearing symbolic/numeric research implementation,106,17,fail;main;metric_component,sys;sympy,5ebeace2260ec0556a641aac546e1d5c9da23a3bbfd211e7b7a1797deaeb7765
CF02_symbolic_checks.py,direct,equation-bearing symbolic/numeric research implementation,82,17,contact_vector_field;reeb;contact_bracket,__future__;json;sympy,99d7e71a84db3a9b2560d0866846432fb3eaef35d8a1f40cfbe3c9a437dc2946
CF06_sympy.py,direct,equation-bearing symbolic/numeric research implementation,105,29,ricci_scalar_symbolic;matrix_exact_equal,__future__;json;sys;sympy,3bb671a95013771230de0aed82d8e377b51145907e3b3fee94e9fb8d4ef4e995
CF10_symbolic_checks.py,direct,equation-bearing symbolic/numeric research implementation,79,3,d2q9_moment_checks;shell_series_checks;main,__future__;json;sympy,307fc5f96a196a7e7434ac894c22b78c82f64e349937135aa36962976cf21983
CF10_xi_proof_check.py,direct,equation-bearing symbolic/numeric research implementation,118,35,,json;math;sympy,786c2966f39285e515e95e3d0d5b7c348be45ea17fd1390ad77a0ee3528df2bf
CF16_Weinberg_Numeric_Closure_sympy.py,direct,equation-bearing symbolic/numeric research implementation,98,2,Gate;fail;require;main,__future__;math;sys;dataclasses;typing;sympy,6463d3aec6592a647b363f69229c5fcfdcf97d762973200f04f9c0fbe51c0ee6
CF18_sympy_validation.py,direct,equation-bearing symbolic/numeric research implementation,73,15,quadratic_reduction_metrics;channel_additivity_metrics;main,__future__;json;pathlib;sympy,c8d5d3592a750727a59fec3a21b720baf701628b5fd883c635e918ee74ebe1b1
Void_Debt_Modulation.py,direct,reusable mathematical/dynamical algorithm or solver component,140,7,VoidDebtModulation;__init__;get_universal_domain_modulation;get_all_domain_modulations;print_modulation_table;validate_modulation_consistency,numpy;Void_Equations;Void_Equations,771d06b88423b8f777f4f03ef4cf28e100eeabff439b82774486391b2c969e58
Void_Equations.py,direct,reusable mathematical/dynamical algorithm or solver component,108,35,delta_re_vgsp;delta_gdsp;universal_void_dynamics;get_universal_constants,numpy,455885c6658d08a262ad2fccfa4b0fa8928f4c95e6441bb928f52f00db01d2b5
announce.py,support,local dependency required by retained target sparse_connectome.py,76,0,Observation;validate_observation,__future__;dataclasses;typing,d280fb5b9a1e81b4e2ce8ef1b54344fe7bdd2038ed5d0d80e6c4e5b9b763730e
available_source_boundary_attack_v55.py,direct,equation-bearing symbolic/numeric research implementation,36,11,,__future__,fabb8f8cc78ec942e67eb99e9b0e10fcf2e35872790cc80bcabbe9d4dcedbb5f
base_adapter.py,direct,reusable mathematical/dynamical algorithm or solver component,237,17,EchoAdapter;initial_state;forward_step;reverse_step;energy_norm_delta;random_correction;assisted_correction;apply_correction;correction_work;copy_state;calibration_gates,__future__;abc;typing;numpy,7e22490ecf85798016409a4444a3fd59294780a57fbbdd95ab50901a24f87516
base_decay_map.py,direct,reusable mathematical/dynamical algorithm or solver component,139,1,BaseDecayMap;__init__;_decay_to;add;_prune;fold;snapshot;q,__future__;typing;math;random;heapq,9426696e805cf28109fbc1cdb00f7c8d3b2b4b4df4fd9e82f765d37291e73aa9
baseline_extractors.py,support,local dependency required by retained target phase_radix_block_search.py,121,3,bbp_hex_digit;bbp_hex_digits;chudnovsky_pi_str;pi_hex_plain;run_smoke_benchmarks;S,__future__;decimal;functools;typing;math;time;json,2120d074adb680bad52ac2d984a7feabe1834e1b9aa01ca498c855d4d66b9c8a
basis.py,direct,reusable mathematical/dynamical algorithm or solver component,77,24,BasisAtom;FeatureMap;RetainedBasisFrame;default;size;design_matrix;expression;from_dataset;raw_coefficients,__future__;dataclasses;typing;numpy,98379a8aa8a0b24d7dff29fd401cb4433ed8b202bb905428d93fe7e46786fcda
bring_quintic_root_certificate.py,direct,equation-bearing symbolic/numeric research implementation,57,16,main,__future__;json;pathlib;sympy;pc_branch_certifier,294862efb5810f0198747ca98ac84f5921827e2e4886ee11b90addca12583ebd
cf000_origin_arena_sympy.py,direct,equation-bearing symbolic/numeric research implementation,32,3,,json;pathlib;sympy,55569fa9bd55a076befb53b2f381db128be994587ad2d50b7dc543eb70cd791a
cf000_structural_witness_sympy.py,direct,equation-bearing symbolic/numeric research implementation,91,1,main,__future__;json;pathlib;sympy,ac991df37cbf2fee3b8f77e4ff1e98e677c762111a63e646f49ea1366b258cff
cf05_sympy_verification.py,direct,equation-bearing symbolic/numeric research implementation,109,23,jacobi_components;residual_sum;main,__future__;json;pathlib;sympy,07a933bd9e34bbacaf3167a2f391e3928856547b8e5bf00c9cc0e4901ebcf796
cf07_sympy_attack.py,direct,equation-bearing symbolic/numeric research implementation,157,85,trace_norm_2x2_hermitian;kl;main;spectral_norm_sympy_2,__future__;json;math;pathlib;numpy;sympy,f5a75d864d6e51633abfd4b63e4e7a119ada00069df02b0b29b613f16418fd95
cf11_entropy_exchange_check.py,direct,equation-bearing symbolic/numeric research implementation,40,5,run_check,__future__;json;os;sympy,45bee29650180d07e3a759653caf47730d63c0b6aa692be1cbe08b84e7225e8c
cf11_eos_identity_check.py,direct,equation-bearing symbolic/numeric research implementation,53,3,run_check,__future__;json;os;sys;sympy,bf34189d4a8e21aa7d36025f7964678c0aded8e76d062f4c64b998bd513f7de6
cf11_forced_lifted_quotient_check.py,direct,equation-bearing symbolic/numeric research implementation,53,28,run_check,__future__;json;os;sympy,29947c9799c4b322ddd82fc6c767b8eac73ee6a719d42c9bbed96d8a08b33790
cf11_forced_quotient_check.py,direct,equation-bearing symbolic/numeric research implementation,62,9,run_check,__future__;json;os;sympy,ce4216967ededacf91cf6e01bd1726e8c9bbe60a50d93c1b2c2751b0bdc68026
cf11_forced_quotient_lower_bound_check.py,direct,equation-bearing symbolic/numeric research implementation,35,9,run_check,__future__;json;os;sympy,53598de64e00308fa18b947725c317eae220d072a9c57d16278dd52746449d18
cf11_hierarchy_sound_speed_check.py,direct,equation-bearing symbolic/numeric research implementation,39,3,run_check,__future__;json;os;sympy,4815a2bcb139f0ba754a35af3b116e484f39fd0e392603a14a65b0a938973351
cf11_higher_order_leakage_check.py,direct,equation-bearing symbolic/numeric research implementation,41,6,run_check,__future__;json;os;sympy,826e5ea329e9c966f3c5affbc791ace2aa7c2e4ed85c2bafe4c82bdc93a439ae
cf11_m_sector_limits_check.py,direct,equation-bearing symbolic/numeric research implementation,38,3,run_check,__future__;json;os;sys;sympy,c1ae434a1e2f723976b61067cda3ff35aca5c2a4e8aab9b10a5fe75d7b0fc38f
cf11_operator_channel_projection_check.py,direct,equation-bearing symbolic/numeric research implementation,35,14,run_check,__future__;json;os;sympy,2223bd2f77af751001aef152b7059b03274599b66996def42272a073f8d8f0e7
cf11_phase_quotient_check.py,direct,equation-bearing symbolic/numeric research implementation,57,13,_max_abs_matrix_entry;run_check,__future__;json;os;sympy,3af88809f178ca1f4080f4cf9e3ae4b9ab5a128d4d285ad52c74409f5c9cb25b
cf11_projector_hessian_check.py,direct,equation-bearing symbolic/numeric research implementation,58,8,_max_abs_matrix_entry;run_check,__future__;json;os;sys;sympy,e71345a6d38845b27650a6f1567c9307b9da69b0e92c0d6ad1601bb11bd9b317
cf11_proxy_metriplectic_check.py,direct,equation-bearing symbolic/numeric research implementation,54,15,run_check,__future__;json;os;sys;sympy,95eb62858f334eb4f4696e46b447106203c9c4ef304d9944395a17ec84ec497a
cf12_sympy_checks.py,direct,equation-bearing symbolic/numeric research implementation,90,10,main,__future__;json;pathlib;sympy,874a4f8c319d2d3c309fe699b9f2a66cb043562738f93d2ba7679a7b40e3b8d9
cf13_sympy_audit.py,direct,equation-bearing symbolic/numeric research implementation,149,49,rotation_numeric;distorted_rotation_numeric;frob_norm;centered_slope;sech;main,__future__;json;math;pathlib;numpy;sympy,f9918cac58eeaf7234040e4f0e12d16eb4b690a0a7fda8cf13154d71bc8c8741
cf14_sympy_checks.py,direct,equation-bearing symbolic/numeric research implementation,109,6,simplify_zero;main,__future__;json;pathlib;sympy,9f4d63e8c424481b95e25f1a1770e8df800690728d96dbd99815ce949b14a8e7
cf15_sympy_checks.py,direct,equation-bearing symbolic/numeric research implementation,148,30,particle_noether_identity;particle_rotation_comparison;angular_momentum_poisson_comparison;field_current_identity;j_limb_identity;m_limb_drift_identity;equilibrium_restoration_identity;stress_energy_divergence_identity;expression_to_string;main;poisson,__future__;json;pathlib;typing;sympy,9cc5d4eb261bfebba25a682572739814788ff5575e8d8c8b26bc6d213f8e4fcd
cf16_weinberg_skeptic_audit.py,direct,equation-bearing symbolic/numeric research implementation,219,24,Anchor;balanced_corridor;check;integer_linear_uniqueness;finite_assignment_ablation;matrix_checks;main;product;sum;gap;chiral_edge_count,__future__;dataclasses;fractions;math;json;sys;pathlib;sympy,f816fc612d1390f670538daf301d79e958f2d6d8a29bb25326bc852c8dd4eeba
cf17_symbolic_checks.py,direct,equation-bearing symbolic/numeric research implementation,118,11,main,__future__;json;sympy,b75b3f701ca9938f15f4966616eff99bc596c25691ef6cc123e391a29f7fb1aa
cf19_executable_replay_attack_v52.py,direct,research algorithm/exact arithmetic implementation,24,0,B;iterB,math,d30b91576adf436cc41a65c3c203a794af21072113ab53ffcfd04bf7deb8f154
cf19_extension_sympy.py,direct,equation-bearing symbolic/numeric research implementation,121,10,classical_coeffs;quarter_kernel_coeff;quarter_coeffs;sympy_quarter_prefix;quarter_i_kernel_label;main,json;math;sympy,ba816614e329d455eb41bbba7bb4d8aeaa4c48da0002746a946cdc0637c90dcc
cf_involution_algebra_check.py,direct,equation-bearing symbolic/numeric research implementation,49,3,,__future__;json;sympy,beaaaef7fe851cab83c4adeecdf06a76b20419cc0e3bbb28ec4632b58e942b44
coldmap.py,direct,reusable mathematical/dynamical algorithm or solver component,175,1,ColdMap;__init__;touch;_prune;_score;snapshot;_pct,__future__;typing;random;math;heapq,723fad370a3f8b666652f2ba94ba006205cca133b2e4e4f84d69bf043e171215
compiler.py,direct,reusable mathematical/dynamical algorithm or solver component,126,16,_entry;_pair_phase;_gauss_phase;_coverage_plus;_coverage_minus;_pairing;refine_pair;apply_q;apply_b;apply_l,__future__;dataclasses;orthad_canon,ae3b4974ca3bcf7b64aa9082717539d9e88e0ce9d61521e11f1620af2ea3d191
composite_metrology_saturation_sweep.py,direct,equation-bearing symbolic/numeric research implementation,422,24,fib_pair_product_log2;capacity_log2;generate_schedule;main,__future__;json;math;time;pathlib;matplotlib;numpy;pandas,baa8a6d2aa1ef96170002f60890b27cda9481c5ce9692a79180f5b1f18eecb55
connectome.py,direct,reusable mathematical/dynamical algorithm or solver component,522,76,Connectome;__init__;stimulate;stimulate_indices;step;_add_bond;_decohere_bonds;_measure_cold_node;get_state,__future__;typing;numpy;void_equations;gauge,20850865087a0c322bed08db974e6f06f29a484531029482307363a784a6ce27
coupling.py,direct,reusable mathematical/dynamical algorithm or solver component,64,12,canon_pair;CouplingReport;extract_coupling;matrix_signature,__future__;dataclasses;itertools;math;typing;events,f1dd01792d4b45d679ddb33d9f9290cb44b0c56186363dfbd5f3d80016a43a6b
cross_corpus_state_completeness_attack_v54.py,direct,equation-bearing symbolic/numeric research implementation,96,12,Witness;run,dataclasses;typing,d7fb15657f01941897eab980a6055139658b06687e13a4d474862c8c960fcb7d
dataset.py,direct,reusable mathematical/dynamical algorithm or solver component,34,10,RegressionDataset;__post_init__;n;demo,__future__;dataclasses;numpy,d579b45701af143fa4dbd8f231990782907fda3e6f13391dd563275d69dac0fa
diagnostics.py,direct,reusable mathematical/dynamical algorithm or solver component,292,57,_ensure_adjacency;_shortest_path_distances;estimate_mass_gap_from_phi;PulseSpeedEstimator;__init__;_bfs_from_center;begin;observe;finalize,__future__;math;typing;numpy,00ff7c7165125184310eb4325ac85190bf5a211b540f5d7f0558c90edc66eea8
dsu.py,direct,reusable mathematical/dynamical algorithm or solver component,101,23,DSU;__init__;find;union;grow_to;same_set;count_sets,__future__;typing;numpy,2b7816e03ffc79fab28aabbc33906b3eb1f37836af4738c8fdbb08fd9cab751a
echo_gates.py,direct,reusable mathematical/dynamical algorithm or solver component,220,10,gate_noether;gate_h_theorem;gate_energy_match;gate_strang_defect;gate_ceg_positive;aggregate_gate_ledger;check_all_gates,__future__;typing,0d51828b27727f00bbc13b83eb456e90f11042c921a7c8ce0be3c07a76920abf
echo_metrics.py,direct,reusable mathematical/dynamical algorithm or solver component,360,9,ceg;_lam_key;run_echo_protocol;emit_artifacts,__future__;json;time;typing;numpy;adapters;gates;pathlib,cfa2e7e2ce458246f163b278483dd7357a21d9e40071eecf35400f172429142a
events.py,support,local dependency required by retained target coupling.py,48,0,Event;Q;B;L;P;modulus_for;token;depends_on,__future__;dataclasses;math;typing,60121f1d3cd140782030295c7c3f5059d912a977185ae193c7ee87e74ca4f4d0
exact_second_pass.py,direct,equation-bearing symbolic/numeric research implementation,124,12,f;plus_cov;minus_cov,__future__;json;itertools;pathlib;sympy,485ff3e29db88dc48f426b7835cdd5860fa4cf601b606f541f8e1a1a73fdd2b8
experimental_consequences_sympy.py,direct,equation-bearing symbolic/numeric research implementation,78,11,,json;pathlib;sympy,03d73f07fd43ec068e90059deeaac6301df9c58ce09dfebc51b4175efe249c0b
extension_closure_sympy.py,direct,equation-bearing symbolic/numeric research implementation,171,31,check;B_pair;dot_scaled,__future__;fractions;itertools;sys;sympy,55d46f90505e439d5cc7aa80d0f30f8f05fb3178461edf2d207a9d670d842b7e
fibonacci.py,direct,reusable mathematical/dynamical algorithm or solver component,50,5,ResolutionCertificate;balanced_step;balanced_pair;certificate_for_depth;depth_for_floor,__future__;math;dataclasses;fractions,41fb45d5e08b5f6b9328308ccedc1b038dddcee33d2467627c604eeacfa67162
field.py,direct,reusable mathematical/dynamical algorithm or solver component,362,5,MemoryField;__init__;_decay_to;_ensure_and_decay;_prune;fold;snapshot;get_m;get_many;update_from_events;snapshot_head;snapshot_dict;D_a;Lambda;Gamma;Theta;q,__future__;typing;math;random;vdm_rt;heapq;heapq,a020d02a7d01f117f5051618534dfabd369a0aeaa9deec1d4ef90ba93c9327ce
first_b_relational_orthad.py,direct,equation-bearing symbolic/numeric research implementation,144,28,strict_order_edges;is_lawful_pointed_order;chart_plus;chart_minus;compose;invert_map;first_b_update;calculate,__future__;itertools;json;fractions,323862f6e18c7f1b99093157578776ec81b609a18b158085089bcd2deb279981
first_l_emergence_cascade.py,direct,manually confirmed mathematical mining target,634,168,G;State;norm_sq;total_norm_sq;point_count;doubled_area;write_csv;linear_fit;wilson_domain_wall;main;zero;one;mul_i;scale;norm_sq;text;initial;clone;phase_positions;capacity;emit;tick;layers;fmt,__future__;csv;hashlib;itertools;json;math;dataclasses;fractions;pathlib;numpy;matplotlib,4070a94256fa7fe19d5bc2266fcb39b1e169a659faf6cc3db3f6dd1d963e4a03
first_l_hierarchical_relation_grid.py,direct,equation-bearing symbolic/numeric research implementation,641,54,ExactComplex;fraction_text;AxisRelation;PrimitiveState;RelationGrid;invert;compose;map_json;run_to_first_l;calculate;__add__;__sub__;__mul__;__rmul__;as_pair;text;validate;edges;plus_chart;minus_chart;transfer_plus_to_minus;transfer_minus_to_plus;active_determination;q_update;b_update;json;phase_positions;capacity;next_pair;can_b;can_q;selected;step;json;blocks;block_counts;b_update;q_update;old_embedding;old_recovery;old_point_recovery_residual;old_edge_recovery_residual;factor_maps;chart_blocks;transfer_maps;transfer_square_residual;transfer_block_naturality_residual;json,__future__;json;dataclasses;fractions;typing,0ef7c40ee86dfbaba2562014a20a935423d5a6a043fc392497ef0863a79db614
first_q_relational_orthad.py,direct,equation-bearing symbolic/numeric research implementation,265,5,canonical;expr_key;invert_map;compose;pushforward_edges;mismatch_count;calculate;edge_json;map_json,__future__;json;typing;sympy,8c0021e98ae104752185b063f6e5acf342caeacd1253a1d2807ec91a9122d2ca
fitness.py,direct,reusable mathematical/dynamical algorithm or solver component,60,13,FitnessResult;evaluate_candidate;to_jsonable,__future__;dataclasses;typing;numpy;pcsr;pcsr;pcsr,19c57a87130701de66ef2057a28c64fd9ec5590504b0f84869875f5c464da788
four_predeep_closure.py,direct,equation-bearing symbolic/numeric research implementation,889,289,G;State;norm_sq;flatten;relation_map;relation_energy;cross_energy;doubled_area;weighted_triangle_current;qgt_cell;wilson_domain_wall;write_csv;normalized_mode;periodic_coulomb;main;zero;one;__add__;__sub__;mul_i;scale;norm_sq;complex;text;initial;clone;layers;phase_positions;capacity;emit;tick;coulomb;yukawa;f,__future__;csv;hashlib;itertools;json;math;dataclasses;fractions;pathlib;typing;matplotlib;numpy;sympy;scipy;scipy,35f2833cc4b4c3964f931f2b09843fe07f13e4a2ae7a8ee2c606164b73dd11b6
gauge.py,direct,reusable mathematical/dynamical algorithm or solver component,310,53,WalkerEvent;thermal_velocity;emit_counts;_select_neighbor;propagate_one;run_gauge_step,__future__;dataclasses;typing;numpy,0738a7195776f9aaa1433c638e504e27e59f3b42ef2d022e485f6bb45847c16c
gdsp.py,direct,reusable mathematical/dynamical algorithm or solver component,532,45,GDSPActuator;run_gdsp_synaptic_actuator;get_gdsp_status_report;_AdaptiveThresholds;__init__;_grow_connection_across_gap;_prune_connections_in_locus;trigger_homeostatic_repairs;trigger_performance_growth;_execute_reinforcement_growth;_execute_exploratory_growth;trigger_maintenance_pruning;run;status_report;__init__;update_and_adapt;record_structural_activity,__future__;typing;numpy;collections;scipy;scipy;scipy,2790fb3aa8ae59e9f39bbee493b8d60a9e376e2da29965cfb7c55b76c4039c33
global_system.py,direct,reusable mathematical/dynamical algorithm or solver component,252,42,ADC;SIE;should_run;_kmeans_1d;_cohesion_score;run;_ensure_state;_normalize;_hsi_norm;compute,__future__;dataclasses;typing;numpy,ea04cdd82445988b68eb891d4030106aadc56d3f1965ad1ff92f45e77fb2fd6b
growth_arbiter.py,direct,reusable mathematical/dynamical algorithm or solver component,149,12,GrowthArbiter;__init__;clear_history;update_metrics;accumulate_and_decide,collections;typing;numpy;Void_Equations,a1ac414a48a31c1357117e0136ce182f7e210a7b859b89973898c3543ba0b699
heisenberg.py,direct,reusable mathematical/dynamical algorithm or solver component,42,1,HState;multiply;inverse;commutator;visible;order_charge,__future__;dataclasses,fdc68df28d9348153b107c477440f105fdaa9adc84c17c79535606b50276c645
invariants.py,direct,reusable mathematical/dynamical algorithm or solver component,307,9,_percentile;check_site_constant_of_motion;compute_memory_groups;logistic_motion_invariant_value;check_logistic_motion_invariant;kinetic_c2_from_kappa;kinetic_c2_from_J;_get,__future__;typing;math,0d43c94a058a9f9d326a4f2bd215af08592a11d149bd928376d2819474ef90ca
kg_reference_adapter.py,direct,reusable mathematical/dynamical algorithm or solver component,232,42,KGReferenceAdapter;__init__;initial_state;forward_step;reverse_step;energy_norm_delta;random_correction;assisted_correction;correction_work;calibration_gates,__future__;typing;numpy;sys;pathlib;adapters;core,0815aaa530949da59a97c64fcdb6ce2f4649059ec3ff0027e9cc28966ee0ae0a
lifted_quintic_certifier.py,direct,equation-bearing symbolic/numeric research implementation,321,56,XiHat;Pi;B_pair;B_lift;lexicographic_roots;normalization_scale;normalize_root;refine_to_half_width;complex_json;certify_bring_quintic;certify_all_roots;save_plot;build_parser;main;c;half_width;to_jsonable,__future__;argparse;cmath;json;math;dataclasses;pathlib;typing;matplotlib;sympy,123ca733d35e1f17e8166742e33962df687a2e6e3b69a769f09142bd4c547605
lifted_shell_projection_f1a.py,direct,equation-bearing symbolic/numeric research implementation,299,99,ShellConfig;fit_beta;fibonacci_corridor;shadow_residual;step_state;run_case;run;make_figures;main,__future__;argparse;json;dataclasses;pathlib;typing;numpy;matplotlib,80e780161ef1a3d177e8ebe40266d9b226ae5cf69983ebcbbc7be970a0d539b1
